sortid,genelist,drdist,FC,pValues,pAdjusted
3787,ZSWIM7,5.27818550686018e-19,5.01462224783584e-05,0.994349907689112,0.999999999923338
1182,FGD3,5.24300829215903e-19,4.98120158779499e-05,0.994368766770886,0.999999999923338
1271,GCN1,5.21472629673358e-19,4.95433183808852e-05,0.99438397514194,0.999999999923338
3267,TCTA,5.17259653810691e-19,4.914305805538e-05,0.994406706698992,0.999999999923338
2903,SF3B3,5.13370003769347e-19,4.87735158024928e-05,0.994427776052185,0.999999999923338
782,CSRNP1,5.11064161064912e-19,4.85544456294069e-05,0.994440303979047,0.999999999923338
1771,LRRC8A,5.10662708394262e-19,4.85163049939352e-05,0.994442488007356,0.999999999923338
804,CUL1,5.07195478699645e-19,4.81868954432025e-05,0.994461386664977,0.999999999923338
1946,MRPS22,5.04173401118346e-19,4.78997782614709e-05,0.994477911712558,0.999999999923338
3423,TRA2B,5.02291097084576e-19,4.7720947038645e-05,0.994488229396047,0.999999999923338
